Fri 02/09/2018 at  5:31:56.55 	 IT101307 	  10.0.70.3(Preferred)  	 devind Started Update 					
Fri 02/09/2018 at  5:31:56.55 	 IT101307 	 devind 						
Fri 02/09/2018 at  7:46:51.97 	 IT101307 	  10.128.6.8(Preferred)  	 devind Started Update 					
Fri 02/09/2018 at  7:47:26.86 	 IT101307 	 devind Completed Update from \\NETWORKSRV05HQ 						
Sat 02/10/2018 at 17:34:24.31 	 IT101307 	  10.0.70.3(Preferred)  	 devind Started Update 					
Sat 02/10/2018 at 17:34:24.31 	 IT101307 	 devind 						
Sun 02/11/2018 at  7:50:41.66 	 IT101307 	  10.0.70.3(Preferred)  	 devind Started Update 					
Sun 02/11/2018 at  7:50:41.66 	 IT101307 	 devind 						
Sun 02/11/2018 at 15:36:00.24 	 IT101307 	  10.0.70.5(Preferred)  	 devind Started Update 					
Sun 02/11/2018 at 15:36:00.24 	 IT101307 	 devind 						
Mon 02/12/2018 at  7:33:42.87 	 IT101307 	  10.128.6.8(Preferred)  	 devind Started Update 					
Mon 02/12/2018 at  7:33:52.38 	 IT101307 	 devind Completed Update from \\NETWORKSRV04HQ 						
Tue 02/13/2018 at  5:40:33.68 	 IT101307 	  10.0.70.2(Preferred)  	 devind Started Update 					
Tue 02/13/2018 at  5:40:33.68 	 IT101307 	 devind 						
Tue 02/13/2018 at 20:29:21.62 	 IT101307 	  10.0.70.6(Preferred)  	 devind Started Update 					
Tue 02/13/2018 at 20:29:21.62 	 IT101307 	 devind 						
Wed 02/14/2018 at  5:27:26.21 	 IT101307 	  10.0.70.6(Preferred)  	 devind Started Update 					
Wed 02/14/2018 at  5:27:26.21 	 IT101307 	 devind 						
Thu 02/15/2018 at  5:30:42.89 	 IT101307 	  10.0.70.4(Preferred)  	 devind Started Update 					
Thu 02/15/2018 at  5:30:42.89 	 IT101307 	 devind 						
Thu 02/15/2018 at  7:50:24.19 	 IT101307 	  10.128.6.8(Preferred)  	 devind Started Update 					
Thu 02/15/2018 at  7:50:24.19 	 IT101307 	  10.128.26.17(Preferred)  	 devind Started Update 					
Thu 02/15/2018 at  7:50:32.30 	 IT101307 	 devind Completed Update from \\NETWORKSRV04HQ 						
Fri 02/16/2018 at  7:52:54.09 	 IT101307 	  10.128.6.8(Preferred)  	 devind Started Update 					
Fri 02/16/2018 at  7:53:18.08 	 IT101307 	 devind Completed Update from \\NETWORKSRV04HQ 						
Sat 02/17/2018 at 15:39:24.81 	 IT101307 	  10.0.70.3(Preferred)  	 devind Started Update 					
Sat 02/17/2018 at 15:39:24.81 	 IT101307 	 devind 						
Sun 02/18/2018 at  6:25:05.48 	 IT101307 	  10.0.70.3(Preferred)  	 devind Started Update 					
Sun 02/18/2018 at  6:25:05.48 	 IT101307 	 devind 						
Sun 02/18/2018 at  8:26:35.66 	 IT101307 	  10.0.70.3(Preferred)  	 devind Started Update 					
Sun 02/18/2018 at  8:26:35.66 	 IT101307 	 devind 						
Sun 02/18/2018 at  8:57:20.75 	 IT101307 	  10.0.70.3(Preferred)  	 devind Started Update 					
Sun 02/18/2018 at  8:57:20.75 	 IT101307 	 devind 						
Mon 02/19/2018 at  5:21:42.67 	 IT101307 	  10.0.70.2(Preferred)  	 devind Started Update 					
Mon 02/19/2018 at  5:21:42.67 	 IT101307 	 devind 						
Mon 02/19/2018 at  6:04:35.34 	 IT101307 	  10.0.70.2(Preferred)  	 devind Started Update 					
Mon 02/19/2018 at  6:04:35.34 	 IT101307 	 devind 						
Mon 02/19/2018 at  7:34:17.88 	 IT101307 	  10.128.6.8(Preferred)  	 devind Started Update 					
Mon 02/19/2018 at  7:34:17.88 	 IT101307 	  10.128.26.17(Preferred)  	 devind Started Update 					
Mon 02/19/2018 at  7:34:26.05 	 IT101307 	 devind Completed Update from \\NETWORKSRV04HQ 						
Mon 02/19/2018 at  9:52:17.72 	 IT101307 	  10.128.6.8(Preferred)  	 devind Started Update 					
Mon 02/19/2018 at  9:52:17.72 	 IT101307 	  10.128.26.17(Preferred)  	 devind Started Update 					
Mon 02/19/2018 at  9:52:30.83 	 IT101307 	 devind Completed Update from \\NETWORKSRV04HQ 						
Mon 02/19/2018 at 10:04:14.82 	 IT101307 	  10.128.6.8(Preferred)  	 devind Started Update 					
Mon 02/19/2018 at 10:04:14.82 	 IT101307 	  10.128.26.17(Preferred)  	 devind Started Update 					
Mon 02/19/2018 at 10:04:21.03 	 IT101307 	 devind Completed Update from \\NETWORKSRV04HQ 						
